,index_x,id,app_name,ads,end_user,freemium,pay_per_use,subscription_flatrate,monthly_price,yearly_price,free_or_only_lifetime,test_period,welcome_discount,index_y,Unnamed: 0,at,content,content_nonstop,score,price_category,sentiment
0,0,0,Abnehmen ohne Diät,1,1,1,0,1,,,1,1.0,0.0,0,0,2022-07-22 22:08:51,Great tracker,great tracker,5,,positive
1,0,0,Abnehmen ohne Diät,1,1,1,0,1,,,1,1.0,0.0,1,1,2022-06-01 03:41:54,So far easy to use,far easy,5,,positive
2,0,0,Abnehmen ohne Diät,1,1,1,0,1,,,1,1.0,0.0,2,2,2022-04-29 12:28:03,Its a good app. If font size can be increased that would make it much more better.,good font size increase would much well,5,,positive
3,0,0,Abnehmen ohne Diät,1,1,1,0,1,,,1,1.0,0.0,3,3,2022-02-15 20:55:32,Good application !,good application,5,,positive
4,0,0,Abnehmen ohne Diät,1,1,1,0,1,,,1,1.0,0.0,4,4,2022-01-16 12:32:35,It makes it easy to monitor my weight loss trend. It will be nice to also have african food calories in data base.,easy monitor loss trend nice also african datum base,5,,positive
5,0,0,Abnehmen ohne Diät,1,1,1,0,1,,,1,1.0,0.0,5,5,2021-09-08 14:23:24,Great app.,great,5,,positive
6,0,0,Abnehmen ohne Diät,1,1,1,0,1,,,1,1.0,0.0,6,6,2021-05-15 11:25:50,Its realy a cool app,realy cool,5,,positive
7,0,0,Abnehmen ohne Diät,1,1,1,0,1,,,1,1.0,0.0,7,7,2021-04-26 05:48:50,No option to Scan Barcode & doesn't recognize Tim Hortons,option scan barcode recognize tim horton,1,,negative
8,0,0,Abnehmen ohne Diät,1,1,1,0,1,,,1,1.0,0.0,8,8,2021-04-22 14:55:28,Get a healthy lifestyle and good eating habits with this app. I use it everyday! UPDATE: I used to use it everyday until I lost the pro version after I had to reinstall the app on a different device.,healthy lifestyle good eating habit everyday update everyday lose pro version reinstall different device,3,,neutral
9,0,0,Abnehmen ohne Diät,1,1,1,0,1,,,1,1.0,0.0,9,9,2021-03-16 03:37:30,"Basic, but easy. No steep learning curve.",basic easy steep learning curve,4,,positive
10,0,0,Abnehmen ohne Diät,1,1,1,0,1,,,1,1.0,0.0,10,10,2021-03-10 20:18:53,great app to track your diet ☺️,great,5,,positive
11,0,0,Abnehmen ohne Diät,1,1,1,0,1,,,1,1.0,0.0,11,11,2021-03-02 03:06:49,Great app,great,5,,positive
12,0,0,Abnehmen ohne Diät,1,1,1,0,1,,,1,1.0,0.0,12,12,2021-02-17 08:27:10,"It is easy, I'm happy with it at this point so far",easy happy point far,5,,positive
13,0,0,Abnehmen ohne Diät,1,1,1,0,1,,,1,1.0,0.0,13,13,2021-01-01 20:33:44,"Its amazing ,it helps a lot",amazing help lot,5,,positive
14,0,0,Abnehmen ohne Diät,1,1,1,0,1,,,1,1.0,0.0,14,14,2020-11-05 13:30:49,Easy to use. I like the helpful hints...,easy like helpful hint,5,,positive
15,0,0,Abnehmen ohne Diät,1,1,1,0,1,,,1,1.0,0.0,15,15,2020-11-01 15:31:33,I was looking for a no diet app but it lied,look lie,2,,negative
16,0,0,Abnehmen ohne Diät,1,1,1,0,1,,,1,1.0,0.0,16,16,2020-10-16 20:21:25,The program is very easy to use but very motivated.,program easy motivated,5,,positive
17,0,0,Abnehmen ohne Diät,1,1,1,0,1,,,1,1.0,0.0,17,17,2020-09-10 03:00:56,Testing,testing,3,,neutral
18,0,0,Abnehmen ohne Diät,1,1,1,0,1,,,1,1.0,0.0,18,18,2020-07-29 22:22:38,"There is missing year at dating, otherwise good app.",missing year date otherwise good,5,,positive
19,0,0,Abnehmen ohne Diät,1,1,1,0,1,,,1,1.0,0.0,19,19,2020-06-28 20:14:22,Just started so will give it a few days and see what I think. So far it seems OK.,start give day see think far seem ok,3,,neutral
