id;app_name;ads;end_user;freemium;pay_per_use;subscription_flatrate;monthly_price;yearly_price;test_period;welcome_discount
0;Abnehmen ohne Diät;1;1;1;0;1;;;1;0
1;BetterMe: Gesundheits-Coaching;0;1;1;1;1;666;7999;1;1
2;Calorie Counter - MyNetDiary;1;1;1;0;1;999;6499;1;0
3;Cronometer - CalorieTracker;1;1;1;1;1;899;4999;0;0
4;Ernährungstagebuch;1;1;1;0;1;333;3996;1;0
5;FITTR: Fitness&Weigth Loss;0;1;1;1;0;;;0;0
6;Fddb - Kalorienzähler & Diät;1;1;1;0;1;399;1999;0;0
7;Fitatu Kalorienzähler & Diät;1;1;1;0;1;699;7199;0;1
8;Gesundheit, Ernährung, Fitness- Kalorienzähler;1;1;1;0;1;199;1596;0;0
9;HealthifyMe - Calorie Counter;0;1;1;0;1;28985;207556;0;1
10;Kalorien, Fett & Eiweißzähler;1;1;1;0;1;999;4999;0;0
11;Kalorienzähler;1;1;1;0;1;499;3999;1;0
12;Kalorienzähler - EasyFit;1;1;1;0;1;;;0;0
13;Kalorienzähler HiKi;1;1;1;0;1;139;799;0;0
14;Kalorienzähler Kalorien!;0;1;1;0;1;75;899;0;0
15;Kalorienzähler von FatSecret;0;1;1;0;1;749;4499;0;0
16;Lifesum: Gesunde Ernährung;0;1;1;0;1;1199;4999;0;1
17;Lose It! - Kalorienzähler;1;1;1;0;1;666;4299;1;0
18;Macros - Kalorienzähler;1;1;1;0;1;183;1199;0;0
19;MyFitnessPal: Kalorienzähler;1;1;1;0;1;999;4999;1;0
20;MyPlate Calorie Tracker;1;1;1;0;1;1108;4953;0;0
21;Noom: Gewicht & Health;0;1;0;0;1;6649;79788;0;1
22;Samsung Health;1;0;0;0;0;;;;
23;WW (Weight Watchers);0;1;0;0;1;2699;32388;1;0
24;YAZIO: Kalorienzähler & Fasten;1;1;1;0;1;833;3999;0;1
