,app_name,source,0
0,Abnehmen ohne Diät,most_relevant,38
1,BetterMe: Gesundheits-Coaching,most_relevant,500
2,Calorie Counter - MyNetDiary,most_relevant,499
3,Cronometer - CalorieTracker,most_relevant,500
4,Ernährungstagebuch,most_relevant,428
5,FITTR: Fitness&Weigth Loss,most_relevant,499
6,Fddb - Kalorienzähler & Diät,most_relevant,126
7,Fitatu Kalorienzähler & Diät,most_relevant,497
8,"Gesundheit, Ernährung, Fitness- Kalorienzähler",most_relevant,498
9,HealthifyMe - Calorie Counter,most_relevant,500
10,"Kalorien, Fett & Eiweißzähler",most_relevant,500
11,Kalorienzähler,most_relevant,499
12,Kalorienzähler - EasyFit,most_relevant,500
13,Kalorienzähler HiKi,most_relevant,119
14,Kalorienzähler Kalorien!,most_relevant,216
15,Kalorienzähler von FatSecret,most_relevant,500
16,Lifesum: Gesunde Ernährung,most_relevant,500
17,Lose It! - Kalorienzähler,most_relevant,500
18,Macros - Kalorienzähler,most_relevant,500
19,MyFitnessPal: Kalorienzähler,most_relevant,500
20,MyPlate Calorie Tracker,most_relevant,500
21,Noom: Gewicht & Health,most_relevant,500
22,Samsung Health,most_relevant,500
23,WW (Weight Watchers),most_relevant,500
24,YAZIO: Kalorienzähler & Fasten,most_relevant,500
