,Unnamed: 0,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,lang,app_name,source
0,25,56cd4026-2cf1-4a89-8b26-aa7c4b352579,A De Matteis,https://play-lh.googleusercontent.com/a/AItbvmmZgyJjH6skW7sdUU5W8GIZ1gBcauhp9r-xlFiq=mo,Great tracker,5,0,5.36,2022-07-22 22:08:51,,,en,Abnehmen ohne Diät,most_relevant
1,14,496597c4-f75e-47ce-8c92-6fa8a0c867bf,Amy Engel,https://play-lh.googleusercontent.com/a-/AFdZucqHYoVfUTY_lxcFZACunA4TqWmBkdRA8XiWOum9jg,So far easy to use,5,0,5.36,2022-06-01 03:41:54,,,en,Abnehmen ohne Diät,most_relevant
2,1,a4a482fb-c89f-47d4-85cb-236be38ae0b5,Jagadheesh Kamalesh,https://play-lh.googleusercontent.com/a-/AFdZucq3hc36nadX1wzvB3SSTFJMv8KMhkGn1IbGcqBw,Its a good app. If font size can be increased that would make it much more better.,5,1,5.36,2022-04-29 12:28:03,,,en,Abnehmen ohne Diät,most_relevant
3,21,68484e82-9b44-483b-b818-e3ed7a538b18,Василий Волобаев,https://play-lh.googleusercontent.com/a/AItbvml2pwW2yf-Jy4WJSLUlvAlUHcZ1jfmkJk2ndKfV=mo,Good application !,5,0,5.36,2022-02-15 20:55:32,,,en,Abnehmen ohne Diät,most_relevant
4,20,0ac16515-2648-43c5-90f1-55fbeb02ea24,Thywish Emifoniye,https://play-lh.googleusercontent.com/a/AItbvmlxdxXaK__Rh2d04j0Jszdo3arcZMWg3i4dp18f=mo,It makes it easy to monitor my weight loss trend. It will be nice to also have african food calories in data base.,5,35,5.36,2022-01-16 12:32:35,,,en,Abnehmen ohne Diät,most_relevant
5,22,5a9d83f1-d197-48eb-b499-da5a2b90572f,zaneta lawniczak,https://play-lh.googleusercontent.com/a/AItbvmlfB8xnQJjjx2TdwnQxAbFIsZgkqcSuSqXleRWo=mo,Great app.,5,0,5.36,2021-09-08 14:23:24,,,en,Abnehmen ohne Diät,most_relevant
6,17,198f45c0-f507-4640-a099-e98d29dde945,Vanshika Chava,https://play-lh.googleusercontent.com/a-/AFdZucqaNHY5nBW8hKON2zOEDcFtqbV75LxaE7FgiBhY,Its realy a cool app,5,0,5.36,2021-05-15 11:25:50,,,en,Abnehmen ohne Diät,most_relevant
7,7,cfa04d35-c5e3-4a8d-b1d3-2e63dd896674,Fiona Olsdix,https://play-lh.googleusercontent.com/a/AItbvmndAIVyu5Czef76ISA_miU5MVR1Pcqce_NE_lI=mo,No option to Scan Barcode & doesn't recognize Tim Hortons,1,1,5.33,2021-04-26 05:48:50,,,en,Abnehmen ohne Diät,most_relevant
8,29,408f9c98-c351-4b30-a4ca-5eceef98990f,Esther O,https://play-lh.googleusercontent.com/a/AItbvmn3dpuZCWmvMtKbHBFttQH_QZ1K8-K3nAGzpfd-=mo,Get a healthy lifestyle and good eating habits with this app. I use it everyday! UPDATE: I used to use it everyday until I lost the pro version after I had to reinstall the app on a different device.,3,0,5.33,2021-04-22 14:55:28,,,en,Abnehmen ohne Diät,most_relevant
9,3,88902177-a22f-4dc9-9afc-6616faf9f914,Barbara J,https://play-lh.googleusercontent.com/a/AItbvmmCf2CaMlp1U4qs7JHKRiQDe5u4vYjhNpAUx_ah=mo,"Basic, but easy. No steep learning curve.",4,9,,2021-03-16 03:37:30,,,en,Abnehmen ohne Diät,most_relevant
10,11,c39cad8e-4668-426a-b59e-7e3b256fed20,Olga Martinez,https://play-lh.googleusercontent.com/a-/AFdZucrkrNpj8wZg7qLDmqIbTlqN1mwvY1Ul9oaoaTqbxQ,great app to track your diet ☺️,5,2,5.33,2021-03-10 20:18:53,,,en,Abnehmen ohne Diät,most_relevant
11,31,4ad10cc1-b3d5-4118-8afc-ea6bda98ae04,Merline Wilcott,https://play-lh.googleusercontent.com/a-/AFdZucqtMEbKsj_fcyv6egdwR8xz2tHfENrLuDh5rAGqPw,Great app,5,0,5.33,2021-03-02 03:06:49,,,en,Abnehmen ohne Diät,most_relevant
12,16,8bf31aa0-533d-47fb-82b3-cc7430459e63,Jenni Dale,https://play-lh.googleusercontent.com/a/AItbvmms3lqfBm8OFSBeEkRh9ugUqd6Cz2A3JnN0B0X6=mo,"It is easy, I'm happy with it at this point so far",5,1,5.33,2021-02-17 08:27:10,,,en,Abnehmen ohne Diät,most_relevant
13,13,464d9a63-16fc-407e-bc44-e57702518596,Kelebogile Mosaka,https://play-lh.googleusercontent.com/a/AItbvmmtcKBHeRobgsAXEAXAmJ6VmnHp3oYtE6NfO_xs=mo,"Its amazing ,it helps a lot",5,0,,2021-01-01 20:33:44,,,en,Abnehmen ohne Diät,most_relevant
14,8,e3bb02a0-a51b-4d6a-88f5-69d19782b435,Zen Monkey,https://play-lh.googleusercontent.com/a-/AFdZucpsHx4uwR6G1gDI1t3vQxgeNnTmdkQaRNkO2gJuQg,Easy to use. I like the helpful hints...,5,5,5.33,2020-11-05 13:30:49,,,en,Abnehmen ohne Diät,most_relevant
15,15,a7fac736-6efa-4802-bc8a-f78d9f91ba20,Olivia miess,https://play-lh.googleusercontent.com/a/AItbvmmGWg-cTZjLkhZO7dimq__R_oNspKEDrIOJeKDR=mo,I was looking for a no diet app but it lied,2,1,5.33,2020-11-01 15:31:33,,,en,Abnehmen ohne Diät,most_relevant
16,6,9cbd149a-a3f1-48ce-bab1-4eba6b89c406,vic buka,https://play-lh.googleusercontent.com/a/AItbvmm8Ng6u7bVlWJxoiAiZd36pbdFyVkZPGx5Ws1j_=mo,The program is very easy to use but very motivated.,5,7,5.33,2020-10-16 20:21:25,,,en,Abnehmen ohne Diät,most_relevant
17,35,9766d408-4d30-4ab5-aec1-bb2a2976ed48,Mahalia Tim Kee,https://play-lh.googleusercontent.com/a-/AFdZucpn8yw2xHgHCd__TkYDGgKj2OYA_HX4RkcmR_I-ug,Testing,3,1,5.33,2020-09-10 03:00:56,,,en,Abnehmen ohne Diät,most_relevant
18,5,36b01c96-ad0f-47df-8659-5b8fb50f73f9,Sharka,https://play-lh.googleusercontent.com/a-/AFdZucqUOkDCpx1iTkoq-uZS9y2Wek0Be-8jKdUf5hDL,"There is missing year at dating, otherwise good app.",5,9,5.33,2020-07-29 22:22:38,,,en,Abnehmen ohne Diät,most_relevant
19,9,2917ae87-c0d7-4630-89a4-b71a27781bcb,Theresa Scheepers,https://play-lh.googleusercontent.com/a/AItbvmmEJPO9h0Dd_ZM6eNpcDF_fapQX2kYPvXIdSdiw=mo,Just started so will give it a few days and see what I think. So far it seems OK.,3,0,5.32,2020-06-28 20:14:22,,,en,Abnehmen ohne Diät,most_relevant
20,0,c1af4cfb-2c2a-4439-bb84-74b61409b3ed,Jennifer C,https://play-lh.googleusercontent.com/a/AItbvmk3GEjcnxyhVZ3AC0ChICLFnC1MtioHI4U3R45V=mo,"The app seems decent...if you're looking for a diet. I specifically searched for a non-diet app (intuitive eating, gentle nutrition etc.), which this app claims it is, but as soon as you enter the app, it tells you you'll have to restrict calories and eat ""healthy"" foods in order to lose weight (not true- weight loss is about controlling insulin), then it asks you to choose a food plan (aka ""diet""). If you want a diet, and a place to log food and exercise, try it out. Not a ""non diet"" app.",2,41,5.32,2020-05-22 09:09:25,,,en,Abnehmen ohne Diät,most_relevant
21,37,266e91e0-9e05-41af-a35a-90163637abd8,Thasleema D,https://play-lh.googleusercontent.com/a/AItbvmkmcYQgB_jxhsT-vCOqmKT9g_Kb5Pf1cgU55hu8=mo,Really Good,5,0,5.32,2020-05-11 22:14:35,,,en,Abnehmen ohne Diät,most_relevant
22,39,d0f565e2-78a8-4644-a40e-a31ae7bc4ca4,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Useful app for daily fitness mantra,5,1,5.24,2020-04-07 16:44:48,,,en,Abnehmen ohne Diät,most_relevant
23,41,2d23615c-9daf-4f77-af66-be0040df9937,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Love it,5,1,5.24,2020-03-19 00:02:58,,,en,Abnehmen ohne Diät,most_relevant
