,app_name,source,0
0,Abnehmen ohne Diät,most_relevant,38
1,BetterMe: Gesundheits-Coaching,most_relevant,200
2,Calorie Counter - MyNetDiary,most_relevant,200
3,Cronometer - CalorieTracker,most_relevant,200
4,Ernährungstagebuch,most_relevant,200
5,FITTR: Fitness&Weigth Loss,most_relevant,200
6,Fddb - Kalorienzähler & Diät,most_relevant,126
7,Fitatu Kalorienzähler & Diät,most_relevant,200
8,"Gesundheit, Ernährung, Fitness- Kalorienzähler",most_relevant,200
9,HealthifyMe - Calorie Counter,most_relevant,200
10,"Kalorien, Fett & Eiweißzähler",most_relevant,200
11,Kalorienzähler,most_relevant,200
12,Kalorienzähler - EasyFit,most_relevant,200
13,Kalorienzähler HiKi,most_relevant,119
14,Kalorienzähler Kalorien!,most_relevant,200
15,Kalorienzähler von FatSecret,most_relevant,200
16,Lifesum: Gesunde Ernährung,most_relevant,200
17,Lose It! - Kalorienzähler,most_relevant,200
18,Macros - Kalorienzähler,most_relevant,200
19,MyFitnessPal: Kalorienzähler,most_relevant,200
20,MyPlate Calorie Tracker,most_relevant,200
21,Noom: Gewicht & Health,most_relevant,200
22,Samsung Health,most_relevant,200
23,WW (Weight Watchers),most_relevant,200
24,YAZIO: Kalorienzähler & Fasten,most_relevant,200
